id,region,continent,subcontinent
PNG,EAP-Papua New Guinea,EAP,Melanesia
POL,EUR-Poland,EUR,Eastern Europe
PRK,EAP-North Korea,EAP,Eastern Asia
PRT,EUR-Portugal,EUR,Southern Europe
PRY,LAC-Paraguay,LAC,South America
QAT,MEN-Rest of Arabia,MEN,Western Asia
ROU,EUR-Romania,EUR,Eastern Europe
RUS,FSU-Russia,FSU,Eastern Europe
RWA,SSA-Rwanda,SSA,Eastern Africa
SAH,MEN-Morocco,MEN,Northern Africa
SAU,MEN-Saudi Arabia,MEN,Western Asia
SDN,SSA-Sudan,SSA,Northern Africa
SDS,SSA-Sudan,SSA,Northern Africa
SEN,SSA-Senegal,SSA,Western Africa
SGP,EAP-Other Southeast Asia,EAP,South Eastern Asia
SLB,EAP-Solomon Islands,EAP,Melanesia
SLE,SSA-Sierra Leon,SSA,Western Africa
SLV,LAC-El Salvador,LAC,Central America
SMR,EUR-Italy,EUR,Southern Europe
SOL,SSA-Somalia,SSA,Eastern Africa
SOM,SSA-Somalia,SSA,Eastern Africa
SRB,EUR-Other Balkans,EUR,Southern Europe
SUR,LAC-Guyanas,LAC,South America
SVK,EUR-Slovakia,EUR,Eastern Europe
SVN,EUR-Slovenia,EUR,Southern Europe
SWE,EUR-Sweden,EUR,Northern Europe
SWZ,SSA-Swaziland,SSA,Southern Africa
SYC,EAP-Other Indian Ocean,EAP,Southern Asia
SYR,MEN-Syria,MEN,Western Asia
TCD,SSA-Chad,SSA,Middle Africa
TGO,SSA-Togo,SSA,Western Africa
THA,EAP-Thailand,EAP,South Eastern Asia
TJK,FSU-Tajikistan,FSU,Central Asia
TKM,FSU-Turkmenistan,FSU,Central Asia
TLS,EAP-Timor L'Este,EAP,South Eastern Asia
TUN,MEN-Tunisia,MEN,Northern Africa
TUR,MEN-Turkey,MEN,Western Asia
TWN,EAP-China,EAP,Eastern Asia
TZA,SSA-Tanzania,SSA,Eastern Africa
UGA,SSA-Uganda,SSA,Eastern Africa
UKR,FSU-Ukraine,FSU,Eastern Europe
URY,LAC-Uruguay,LAC,South America
USA,NAM-USA,NAM,Northern America
UZB,FSU-Uzbekistan,FSU,Central Asia
VAT,EUR-Italy,EUR,Southern Europe
VEN,LAC-Venezuela,LAC,South America
VNM,EAP-Vietnam,EAP,South Eastern Asia
VUT,EAP-Vanuatu,EAP,Melanesia
WEB,MEN-Palestine,MEN,Western Asia
WLF,EAP-Other Pacific Ocean,EAP,Polynesia
YEM,MEN-Yemen,MEN,Western Asia
ZAF,SSA-South Africa,SSA,Southern Africa
ZMB,SSA-Zambia,SSA,Eastern Africa
ZWE,SSA-Zimbabwe,SSA,Eastern Africa
